INFO 2023-04-25 11:49:02,158 Watching for file changes with StatReloader
INFO 2023-04-25 11:49:04,120 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 11:49:04,143 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 11:49:04,235 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 11:49:04,238 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 11:49:04,238 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 11:49:04,239 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 11:49:04,239 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 11:49:04,242 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 11:49:04,244 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 11:49:04,245 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 11:49:04,246 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 11:49:04,246 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 11:49:04,248 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 11:49:04,281 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 11:49:24,631 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-25 11:49:24,696 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2023-04-25 11:50:47,791 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-25 11:50:47,806 "GET / HTTP/1.1" 200 9298
INFO 2023-04-25 11:50:47,911 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-04-25 11:50:47,917 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-04-25 11:50:47,987 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-04-25 11:50:54,463 "GET /student/list HTTP/1.1" 200 9954
INFO 2023-04-25 11:51:31,645 "GET /student/create/ HTTP/1.1" 200 13695
INFO 2023-04-25 12:07:34,578 "GET /student/list HTTP/1.1" 200 9954
INFO 2023-04-25 12:07:36,545 "GET /staff/list/ HTTP/1.1" 200 9695
INFO 2023-04-25 12:07:38,860 "GET /staff/create/ HTTP/1.1" 200 12608
INFO 2023-04-25 12:10:48,323 "POST /staff/create/ HTTP/1.1" 302 0
INFO 2023-04-25 12:10:48,347 "GET /staff/1/ HTTP/1.1" 200 10851
INFO 2023-04-25 12:11:05,687 "GET /staff/1/update/ HTTP/1.1" 200 12673
INFO 2023-04-25 12:11:42,706 "POST /staff/1/update/ HTTP/1.1" 302 0
INFO 2023-04-25 12:11:42,725 "GET /staff/1/ HTTP/1.1" 200 10851
INFO 2023-04-25 12:11:50,666 "GET /staff/1/delete/ HTTP/1.1" 200 9600
INFO 2023-04-25 12:11:56,390 "POST /staff/1/delete/ HTTP/1.1" 302 0
INFO 2023-04-25 12:11:56,412 "GET /staff/list/ HTTP/1.1" 200 9695
INFO 2023-04-25 12:12:17,219 "GET /staff/list/ HTTP/1.1" 200 9695
INFO 2023-04-25 12:12:18,733 "GET /student/list HTTP/1.1" 200 9954
INFO 2023-04-25 12:12:27,827 "GET /result/create/ HTTP/1.1" 200 10923
INFO 2023-04-25 12:12:33,136 "POST /result/create/ HTTP/1.1" 200 11067
INFO 2023-04-25 12:12:39,023 "POST /result/create/ HTTP/1.1" 200 11146
INFO 2023-04-25 12:23:02,461 "GET /student/list HTTP/1.1" 200 9954
INFO 2023-04-25 12:23:07,123 "GET /student/create/ HTTP/1.1" 200 13695
INFO 2023-04-25 12:24:18,712 "POST /student/create/ HTTP/1.1" 302 0
INFO 2023-04-25 12:24:18,732 "GET /student/4/ HTTP/1.1" 200 11299
INFO 2023-04-25 12:24:18,868 "GET /media/students/passports/dennis.jpg HTTP/1.1" 200 114244
